company,product,typename,inches,opsys,price_euros,resolution_width,resolution_height,aspect_ratio,resolution_type,touchscreen,cpu_manufacturer,cpu_model,cpu_clock_speed_GHz,ram_gb,storage_gb,storage_type,weight_kg,gpu_brand,gpu_model
Apple,"MacBook 12""",Ultrabook,12.0,macOS,1262.4,2304,1440,1.6,IPS Panel Retina Display ,No,Intel,Core M m3,1.2,8.0,256.0,SSD,0.92,Intel HD Graphics ,615
Apple,MacBook Pro,Ultrabook,13.3,macOS,1518.55,2560,1600,1.6,IPS Panel Retina Display ,No,Intel,Core i5,2.3,8.0,256.0,SSD,1.37,Intel Iris Plus Graphics ,640
Dell,Inspiron 3567,Notebook,15.6,Windows 10,745.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,2.2,AMD Radeon R,5
Apple,MacBook Pro,Ultrabook,15.4,macOS,2858.0,2880,1800,1.6,IPS Panel Retina Display ,No,Intel,Core i7,2.9,16.0,512.0,SSD,1.83,AMD Radeon Pro ,560
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,No OS,499.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 7100U,2.4,8.0,1024.0,HDD,2.2,Nvidia GeForce ,940
Dell,XPS 13,Ultrabook,13.3,Windows 10,979.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Core i5 8250U,1.6,8.0,128.0,SSD,1.22,Intel UHD Graphics ,620
Asus,Vivobook E200HA,Netbook,11.6,Windows 10,191.9,1366,768,1.7786458333333333,Other,No,Intel,Atom x5-Z8350,1.44,2.0,32.0,Flash Storage,0.98,Intel HD Graphics ,400
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,999.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 7300HQ,2.5,8.0,128.0,SSD,2.5,Nvidia GeForce GTX ,1050
HP,255 G6,Notebook,15.6,No OS,258.0,1366,768,1.7786458333333333,Other,No,AMD,E-Series E2-9000e,1.5,4.0,500.0,HDD,1.86,AMD Radeon R,2
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,819.0,1920,1080,1.7777777777777777,Full HD ,Yes,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.62,Intel UHD Graphics ,620
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Windows 10,659.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.91,Intel HD Graphics ,620
Dell,Inspiron 3567,Notebook,15.6,Windows 10,418.64,1366,768,1.7786458333333333,Other,No,Intel,Core i3 6006U,2.0,4.0,1024.0,HDD,2.3,Intel HD Graphics ,520
Apple,MacBook Air,Ultrabook,13.3,Mac OS X,1099.0,1440,900,1.6,Other,No,Intel,Core i5,1.6,8.0,128.0,Flash Storage,1.35,Intel HD Graphics ,6000
Dell,Inspiron 5570,Notebook,15.6,Windows 10,800.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,2.2,AMD Radeon ,530
Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1298.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8650U,1.9,8.0,256.0,SSD,1.88,Intel UHD Graphics ,620
HP,ProBook 470,Notebook,17.3,Windows 10,896.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,1024.0,HDD,2.5,Nvidia GeForce ,930
Chuwi,"LapBook 15.6""",Notebook,15.6,Windows 10,244.99,1920,1080,1.7777777777777777,Full HD ,No,Intel,Atom x5-Z8300,1.44,4.0,64.0,Flash Storage,1.89,,
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,Windows 10,199.0,1366,768,1.7786458333333333,Other,No,AMD,E-Series E2-6110,1.5,2.0,32.0,Flash Storage,1.65,AMD Radeon R,2
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Windows 10,439.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,A6-Series 9220,2.5,4.0,500.0,HDD,2.71,AMD Radeon ,530
Dell,XPS 13,Ultrabook,13.3,Windows 10,1869.0,3200,1800,1.7777777777777777,Touchscreen ,Yes,Intel,Core i7 8550U,1.8,16.0,512.0,SSD,1.2,Intel UHD Graphics ,620
Apple,MacBook Air,Ultrabook,13.3,Mac OS X,998.0,1440,900,1.6,Other,No,Intel,Core i5,1.6,8.0,256.0,Flash Storage,1.35,Intel HD Graphics ,6000
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Windows 10,249.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3350,1.1,4.0,64.0,Flash Storage,1.44,Intel HD Graphics ,500
Acer,Aspire 3,Notebook,15.6,Linux,367.0,1366,768,1.7786458333333333,Other,No,Intel,Core i3 7130U,2.7,4.0,1024.0,HDD,2.1,Intel HD Graphics ,620
Dell,Inspiron 5770,Notebook,17.3,Windows 10,979.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 8250U,1.6,8.0,128.0,SSD,2.8,AMD Radeon ,530
HP,250 G6,Notebook,15.6,Windows 10,488.69,1366,768,1.7786458333333333,Other,No,Intel,Core i5 7200U,2.5,4.0,1024.0,HDD,1.86,Intel HD Graphics ,620
HP,ProBook 450,Notebook,15.6,Windows 10,879.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,2.1,Nvidia GeForce ,930
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Linux,389.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,1024.0,HDD,2.0,Intel HD Graphics ,620
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1499.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,2.65,Nvidia GeForce GTX ,1060
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Linux,522.99,1366,768,1.7786458333333333,Other,No,Intel,Core i5 7200U,2.5,8.0,1024.0,HDD,2.3,Nvidia GeForce ,940
Acer,Aspire A515-51G,Notebook,15.6,Windows 10,682.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 8250U,1.6,4.0,256.0,SSD,2.2,Intel UHD Graphics ,620
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Windows 10,999.0,1920,1080,1.7777777777777777,Full HD ,Yes,Intel,Core i5 8250U,1.6,12.0,1024.0,HDD,2.77,Nvidia GeForce ,150
Apple,MacBook Pro,Ultrabook,13.3,macOS,1419.0,2560,1600,1.6,IPS Panel Retina Display ,No,Intel,Core i5,2.0,8.0,256.0,SSD,1.37,Intel Iris Graphics ,540
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,No OS,369.0,1366,768,1.7786458333333333,Other,No,Intel,Core i3 6006U,2.0,4.0,128.0,SSD,2.2,Intel HD Graphics ,520
Asus,Rog Strix,Gaming,17.3,Windows 10,1299.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,Ryzen 1700,3.0,8.0,256.0,SSD,3.2,AMD Radeon RX ,580
Dell,Inspiron 3567,Notebook,15.6,Windows 10,639.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,4.0,256.0,SSD,2.3,AMD Radeon R,5
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Windows 10,466.0,1366,768,1.7786458333333333,Other,No,Intel,Pentium Quad Core N4200,1.1,4.0,1024.0,HDD,2.8,Nvidia GeForce ,920
Lenovo,Yoga Book,2 in 1 Convertible,10.1,Android,319.0,1920,1200,1.6,IPS Panel Touchscreen ,Yes,Intel,Atom x5-Z8550,1.44,4.0,64.0,Flash Storage,0.69,Intel HD Graphics ,400
Acer,Aspire A515-51G,Notebook,15.6,Windows 10,841.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,2.2,Nvidia GeForce MX,150
HP,255 G6,Notebook,15.6,Windows 10,398.49,1920,1080,1.7777777777777777,Full HD ,No,AMD,A6-Series 9220,2.5,4.0,256.0,SSD,1.86,AMD Radeon R,4
HP,ProBook 430,Notebook,13.3,Windows 10,1103.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,512.0,SSD,1.49,Intel UHD Graphics ,620
Acer,Aspire 3,Notebook,15.6,Windows 10,384.0,1366,768,1.7786458333333333,Other,No,Intel,Core i3 7100U,2.4,4.0,1024.0,HDD,2.4,Intel HD Graphics ,620
Dell,Inspiron 3576,Notebook,15.6,Windows 10,767.8,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,2.13,AMD Radeon ,520
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Windows 10,439.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,128.0,SSD,1.91,Intel HD Graphics ,520
Asus,VivoBook Max,Notebook,15.6,Windows 10,586.19,1366,768,1.7786458333333333,Other,No,Intel,Core i5 7200U,2.5,4.0,256.0,SSD,2.0,Intel HD Graphics ,620
MSI,GS73VR 7RG,Gaming,17.3,Windows 10,2449.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,2.43,Nvidia GeForce GTX ,1070
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Linux,415.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,256.0,SSD,2.0,Intel HD Graphics ,520
Dell,Inspiron 5770,Notebook,17.3,Windows 10,1299.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,16.0,256.0,SSD,2.8,AMD Radeon ,530
Dell,Vostro 5471,Ultrabook,14.0,Windows 10,879.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.7,Intel UHD Graphics ,620
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,No OS,599.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i3 7130U,2.7,8.0,256.0,SSD,1.7,Intel HD Graphics ,620
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Windows 10,941.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.4,Intel UHD Graphics ,620
HP,250 G6,Notebook,15.6,Windows 10,690.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.86,Intel HD Graphics ,620
Asus,ZenBook Pro,Ultrabook,15.6,Windows 10,1983.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,512.0,SSD,1.8,Nvidia GeForce GTX ,1050
HP,250 G6,Notebook,15.6,Windows 10,438.69,1366,768,1.7786458333333333,Other,No,Intel,Core i3 6006U,2.0,4.0,500.0,HDD,1.86,AMD Radeon ,520
HP,Stream 14-AX040wm,Notebook,14.0,Windows 10,229.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3060,1.6,4.0,32.0,SSD,1.44,Intel HD Graphics ,400
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Windows 10,549.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,4.0,1024.0,HDD,1.9,Intel HD Graphics ,620
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Linux,949.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,12.0,1024.0,HDD,3.0,Nvidia GeForce GTX ,1050
Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,1089.0,2256,1504,1.5,Touchscreen ,Yes,Intel,Core i5 7200U,2.5,4.0,128.0,SSD,1.252,Intel HD Graphics ,620
Dell,Inspiron 5370,Ultrabook,13.3,Windows 10,955.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.4,AMD Radeon ,530
Dell,Inspiron 5570,Notebook,15.6,Windows 10,870.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,2.2,AMD Radeon ,530
MSI,GL72M 7RDX,Gaming,17.3,Windows 10,1095.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7300HQ,2.5,8.0,128.0,SSD,2.7,Nvidia GeForce GTX ,1050
Acer,Aspire E5-475,Notebook,14.0,Windows 10,389.0,1366,768,1.7786458333333333,Other,No,Intel,Core i3 6006U,2.0,8.0,1024.0,HDD,2.1,Intel HD Graphics ,520
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Windows 10,949.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,8.0,1024.0,HDD,2.2,Nvidia GeForce GTX ,1050
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,519.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,2048.0,HDD,2.2,Intel HD Graphics ,620
Dell,Inspiron 5570,Notebook,15.6,Windows 10,855.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,128.0,SSD,2.02,Intel UHD Graphics ,620
Acer,Aspire A515-51G-32MX,Notebook,15.6,Windows 10,530.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 7130U,2.7,4.0,1024.0,HDD,2.2,Nvidia GeForce MX,130
HP,ProBook 470,Notebook,17.3,Windows 10,977.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,128.0,SSD,2.5,Nvidia GeForce ,930
Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1096.16,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.88,Intel UHD Graphics ,620
Apple,"MacBook 12""",Ultrabook,12.0,macOS,1510.0,2304,1440,1.6,IPS Panel Retina Display ,No,Intel,Core i5,1.3,8.0,512.0,SSD,0.92,Intel HD Graphics ,615
HP,ProBook 440,Notebook,14.0,Windows 10,860.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.63,Intel HD Graphics ,620
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Windows 10,399.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,A6-Series 9220,2.5,4.0,128.0,SSD,2.2,AMD R,4
Acer,Aspire 3,Notebook,15.6,Windows 10,395.0,1366,768,1.7786458333333333,Other,No,AMD,A9-Series 9420,3.0,4.0,1024.0,HDD,2.1,AMD Radeon R,5
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1349.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,128.0,SSD,2.65,Nvidia GeForce GTX ,1050
HP,Pavilion 15-CK000nv,Ultrabook,15.6,Windows 10,699.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.83,Nvidia GeForce GTX ,940
HP,250 G6,Notebook,15.6,Windows 10,598.99,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.96,Intel HD Graphics ,620
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Windows 10,1449.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,128.0,SSD,2.2,Nvidia GeForce GTX ,1060
Dell,XPS 13,Ultrabook,13.3,Windows 10,1649.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.21,Intel UHD Graphics ,620
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Windows 10,699.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,FX 9830P,3.0,8.0,1024.0,HDD,2.45,AMD Radeon RX ,560
Acer,Aspire 5,Notebook,15.6,Windows 10,689.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,1024.0,HDD,2.2,Nvidia GeForce MX,150
HP,Probook 430,Notebook,13.3,Windows 10,1197.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,16.0,512.0,SSD,1.49,Intel UHD Graphics ,620
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1195.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7300HQ,2.5,8.0,256.0,SSD,2.65,Nvidia GeForce GTX ,1060
Asus,Zenbook UX430UA,Ultrabook,14.0,Windows 10,1049.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.25,Intel HD Graphics ,620
Acer,Spin 5,2 in 1 Convertible,13.3,Windows 10,847.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.5,Intel UHD Graphics ,620
Dell,Inspiron 3567,Notebook,15.6,Linux,599.9,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,1024.0,HDD,2.2,AMD Radeon R,5
Dell,Inspiron 3567,Notebook,15.6,Linux,485.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,256.0,SSD,2.2,AMD Radeon R,5
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Windows 10,577.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 7100U,2.4,6.0,256.0,SSD,2.0,Nvidia GeForce ,920
HP,Omen 15-ce007nv,Gaming,15.6,Windows 10,1249.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7700HQ,2.8,12.0,128.0,SSD,2.62,Nvidia GeForce GTX ,1050
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Windows 10,719.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.91,AMD Radeon ,530
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Windows 10,349.0,1920,1080,1.7777777777777777,Full HD ,No,AMD,E-Series E2-9000e,1.5,4.0,500.0,HDD,2.1,AMD Radeon R,2
Dell,Inspiron 3576,Notebook,15.6,Linux,647.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,1024.0,HDD,2.2,AMD Radeon ,520
HP,Envy 13-ad009n,Ultrabook,13.3,Windows 10,1119.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.38,Nvidia GeForce MX,150
Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,1340.0,2256,1504,1.5,Touchscreen ,Yes,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.252,Intel HD Graphics ,620
HP,Pavilion 14-BK001nv,Notebook,14.0,Windows 10,659.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 7200U,2.5,6.0,256.0,SSD,1.58,Nvidia GeForce ,940
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Windows 10,414.9,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,1024.0,HDD,1.85,Intel HD Graphics ,520
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Windows 10,1193.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.3,Nvidia GeForce ,940
MSI,GP62M 7REX,Gaming,15.6,Windows 10,1299.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,2.2,Nvidia GeForce GTX ,1050
Lenovo,Thinkpad T470,Notebook,14.0,Windows 10,1480.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 7500U,2.7,8.0,256.0,SSD,1.58,Intel HD Graphics ,620
Asus,VivoBook S15,Ultrabook,15.6,Windows 10,1262.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,16.0,256.0,SSD,1.5,Nvidia GeForce MX,150
Dell,XPS 13,Ultrabook,13.3,Windows 10,1379.0,3200,1800,1.7777777777777777,Quad HD,Yes,Intel,Core i7 7560U,2.4,8.0,256.0,SSD,1.23,Intel Iris Plus Graphics ,640
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Windows 10,1399.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.37,Intel HD Graphics ,620
HP,Probook 440,Notebook,14.0,Windows 10,722.0,1366,768,1.7786458333333333,IPS Panel ,No,Intel,Core i5 8250U,1.6,4.0,500.0,HDD,1.63,Intel UHD Graphics ,620
Dell,XPS 13,Ultrabook,13.3,Windows 10,1629.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.21,Intel UHD Graphics ,620
HP,Spectre x360,2 in 1 Convertible,13.3,Windows 10,1398.99,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.26,Intel UHD Graphics ,620
HP,Probook 440,Notebook,14.0,Windows 10,1084.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,512.0,SSD,1.63,Intel UHD Graphics ,620
Dell,Inspiron 7570,Notebook,15.6,Windows 10,1130.33,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,2.16,Nvidia GeForce ,940
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Windows 10,564.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,1024.0,HDD,2.0,Nvidia GeForce ,920
Asus,VivoBook S15,Notebook,15.6,Windows 10,1118.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,8.0,256.0,SSD,1.7,Nvidia GeForce ,940
Acer,Spin 3,Notebook,15.6,Windows 10,479.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,Yes,Intel,Core i3 7100U,2.4,6.0,1024.0,HDD,2.1,Intel HD Graphics ,620
MSI,GS63VR 7RG,Gaming,15.6,Windows 10,2241.5,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 7700HQ,2.8,16.0,256.0,SSD,1.8,Nvidia GeForce GTX ,1070
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,629.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,2.2,Nvidia GeForce ,940
HP,Probook 470,Notebook,17.3,Windows 10,1271.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,16.0,512.0,SSD,2.5,Nvidia GeForce ,930
Acer,Aspire 3,Notebook,15.6,Windows 10,451.0,1366,768,1.7786458333333333,Other,No,AMD,A9-Series 9420,3.0,4.0,256.0,SSD,2.1,AMD Radeon R,5
HP,250 G6,Notebook,15.6,No OS,259.0,1366,768,1.7786458333333333,Other,No,Intel,Celeron Dual Core N3060,1.6,4.0,500.0,HDD,1.86,Intel HD Graphics ,400
HP,Probook 440,Notebook,14.0,Windows 10,812.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,1024.0,HDD,1.63,Intel UHD Graphics ,620
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,Windows 10 S,277.99,1366,768,1.7786458333333333,Other,No,AMD,E-Series 6110,1.5,4.0,64.0,SSD,1.65,AMD Radeon R,2
Dell,Inspiron 5770,Notebook,17.3,Windows 10,1396.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,16.0,256.0,SSD,2.8,AMD Radeon ,530
HP,ProBook 470,Notebook,17.3,Windows 10,928.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,2.5,Intel UHD Graphics ,620
